position_mm,Al,Si,Cl,Ca,Sc,Ti,Mn,Fe,Cu,As,Se,Sr,Y,Cd,Sb
13.200000000000003,446,1249,2069,4246311,2644,521,1424,797,4532,872,2082,1350,477,2128,934
13.399999999999999,431,1262,2210,4299452,3536,261,1471,705,4619,1121,2076,1301,377,2242,1870
13.600000000000001,442,1387,2122,4199222,2651,495,2105,732,4582,875,1897,1400,246,2174,1856
13.799999999999997,365,1322,2178,4211654,2828,486,1677,722,4419,764,1766,1175,189,2101,1915
14.0,363,1264,2236,4225076,2421,494,1495,962,4455,960,1900,1115,300,2182,1485
14.200000000000003,434,1338,2310,4245638,3000,437,638,1056,4310,915,1987,1591,433,2205,2003
14.399999999999999,439,1468,2395,4134210,3301,864,1928,1716,4301,716,1615,1389,283,1990,2795
14.600000000000001,317,1558,2430,4287550,2012,829,1777,1560,4517,765,1604,1486,344,2135,3235
14.799999999999997,319,1255,1999,4244417,1658,680,1993,959,4345,688,1397,1227,229,2151,1961
15.0,367,1090,2070,4261426,2615,737,1693,966,4224,629,1650,1159,396,2087,4149
15.200000000000003,464,1084,2196,4138350,3834,626,1438,973,4210,568,1755,969,230,1937,2564
15.399999999999999,432,1169,2149,4164729,2089,593,2007,884,4086,728,1563,1241,337,2165,3493
15.600000000000001,432,1265,2333,4221136,3459,622,2420,874,4217,524,1452,1378,382,2211,1621
15.799999999999997,332,1102,2467,4196775,3205,607,2050,850,4289,316,1482,1401,268,2201,2449
16.0,387,1030,2220,4315840,2476,509,2037,617,4579,650,1759,1522,472,2360,1231
16.200000000000003,458,1208,2367,4348870,2291,506,1905,990,4512,953,1640,1448,443,2094,3655
16.4,321,888,2115,4412632,3228,245,1565,497,4525,943,1682,1497,517,2164,1834
16.6,338,864,2140,4308650,2644,395,1488,462,4415,1219,1719,1396,427,2205,2680
16.799999999999997,316,972,2166,4390472,3227,327,1243,570,4476,1264,1522,1555,564,2245,2161
17.0,386,930,2109,4385839,3044,262,1900,441,4518,902,1543,1471,458,2293,2067
17.200000000000003,433,1016,2154,4372085,2166,412,1394,386,4382,1181,1863,1501,407,2356,2369
17.4,496,1045,2323,4397603,2932,661,1561,674,4444,844,1617,1331,291,2163,2925
17.6,498,1179,2155,4397627,2972,925,1538,800,4348,934,1686,1587,291,2251,2954
17.799999999999997,339,928,2318,4365513,3242,1221,784,916,4437,815,1297,1693,322,2069,3656
18.0,397,965,2129,4336904,2260,797,277,1095,4412,902,1416,1532,502,2049,2337
18.200000000000003,431,1079,2220,4425070,2945,362,0,760,4457,869,1584,1515,328,2331,3080
18.4,388,959,1977,4352771,1904,380,386,601,4177,749,1759,1411,385,2328,3090
18.6,385,922,2076,4430281,2089,342,751,521,4484,436,1605,1448,303,2278,3449
18.799999999999997,407,910,2076,4465172,2317,337,856,487,4551,734,1452,1522,346,2312,4004
19.0,396,964,2106,4422442,1829,329,949,559,4566,510,1647,1528,448,2215,3539
19.200000000000003,458,1038,1995,4370011,2653,184,896,717,4528,426,1532,1425,293,2217,3732
19.4,374,1059,1786,4328303,2555,596,1241,700,4224,727,1500,1410,497,2161,2909
19.6,382,1180,2018,4341933,1001,1410,1548,623,4165,892,1569,1388,430,2288,2482
19.799999999999997,488,1073,1903,4414357,959,721,1713,649,4211,915,1402,1488,308,2290,2196
20.0,395,939,1689,4369858,3623,187,1858,633,4173,667,1672,1355,586,2118,845
20.200000000000003,570,1141,2159,4435451,2639,341,1429,762,4345,674,1741,1257,463,2250,1346
20.4,314,783,1783,4309882,2975,394,1415,679,4368,1241,1740,1445,436,2262,2305
20.6,402,1094,1877,4342850,2674,446,2034,776,4389,839,1737,1456,378,2096,1232
20.799999999999997,412,1296,1826,4338549,2616,424,1672,1049,4628,797,1815,1621,358,2189,3053
21.0,411,1055,1891,4285387,2904,559,1584,1052,4855,790,1701,1468,385,2256,1896
21.200000000000003,396,922,1508,4239150,2373,577,1898,650,4775,1022,1801,1344,372,2106,962
21.4,353,2124,1867,4298299,2432,1625,1359,754,4858,888,1958,1344,278,2230,1156
21.6,350,3400,2249,4357934,1375,1454,1428,759,4821,1128,1773,1604,441,2030,4004
21.799999999999997,390,2352,2189,4248681,2480,745,1034,908,4886,912,1766,1407,414,2182,3405
22.0,390,2542,2429,4345804,1344,770,1639,1164,4699,1339,2181,1715,477,2032,3740
22.200000000000003,349,3350,2498,4304188,2398,653,1233,1487,4710,1239,1930,1540,420,2161,2264
22.4,361,2152,1984,4329637,1848,568,1946,931,4902,1303,1836,1496,577,2043,3110
22.6,411,975,1681,4223107,1617,510,1017,769,4700,1122,1941,1542,293,1890,3548
22.799999999999997,470,833,1648,4250971,3304,177,1131,452,4592,1464,2075,1543,450,2337,2352
